Date,Period,Runtype,value
20180523,3,DAIG,24173
20180523,4,DAIG,23669
20180523,5,DAIG,23121
20180523,6,DAIG,22685
20180523,7,DAIG,22256
20180523,8,DAIG,22171
20180523,9,DAIG,22258
20180523,10,DAIG,22507
20180523,11,DAIG,23197
20180523,12,DAIG,23738
20180523,13,DAIG,26168
20180523,14,DAIG,28514
20180523,15,DAIG,31290
20180523,16,DAIG,31835
20180523,17,DAIG,31661
20180523,18,DAIG,31607
20180523,19,DAIG,31574
20180523,20,DAIG,31485
20180523,21,DAIG,30913
20180523,22,DAIG,30501
20180523,23,DAIG,29776
20180523,24,DAIG,29490
20180523,25,DAIG,29459
20180523,26,DAIG,29057
20180523,27,DAIG,29801
20180523,28,DAIG,29479
20180523,29,DAIG,28983
20180523,30,DAIG,28417
20180523,31,DAIG,28292
20180523,32,DAIG,29361
20180523,33,DAIG,30693
20180523,34,DAIG,31567
20180523,35,DAIG,32039
20180523,36,DAIG,32400
20180523,37,DAIG,32593
20180523,38,DAIG,32900
20180523,39,DAIG,32988
20180523,40,DAIG,33000
20180523,41,DAIG,33016
20180523,42,DAIG,32985
20180523,43,DAIG,33063
20180523,44,DAIG,32519
20180523,45,DAIG,30498
20180523,46,DAIG,28880
20180523,47,DAIG,26987
20180523,48,DAIG,25535
20180520,1,DATF,22594
20180520,2,DATF,21873
20180520,3,DATF,21812
20180520,4,DATF,21847
20180520,5,DATF,21552
20180520,6,DATF,21212
20180520,7,DATF,20988
20180520,8,DATF,20842
20180520,9,DATF,20689
20180520,10,DATF,20566
20180520,11,DATF,20328
20180520,12,DATF,20181
20180520,13,DATF,20600
20180520,14,DATF,21025
20180520,15,DATF,21777
20180520,16,DATF,21803
20180520,17,DATF,21894
20180520,18,DATF,21000
20180520,19,DATF,22495
20180520,20,DATF,22500
20180520,21,DATF,22426
20180520,22,DATF,22100
20180520,23,DATF,21839
20180520,24,DATF,21911
20180520,25,DATF,21809
20180520,26,DATF,21629
20180520,27,DATF,21422
20180520,28,DATF,21254
20180520,29,DATF,21063
20180520,30,DATF,21101
20180520,31,DATF,21278
20180520,32,DATF,21611
20180520,33,DATF,22371
20180520,34,DATF,23308
20180520,35,DATF,24574
20180520,36,DATF,25626
20180520,37,DATF,26575
20180520,38,DATF,27325
20180520,39,DATF,27764
20180520,40,DATF,27866
20180520,41,DATF,27984
20180520,42,DATF,28327
20180520,43,DATF,28897
20180520,44,DATF,28315
20180520,45,DATF,27402
20180520,46,DATF,26145
20180520,47,DATF,25111
20180520,48,DATF,23748
20180521,1,DATF,23026
20180521,2,DATF,22899
20180521,3,DATF,22621
20180521,4,DATF,22417
20180521,5,DATF,22032
20180521,6,DATF,21645
20180521,7,DATF,21415
20180521,8,DATF,21397
20180521,9,DATF,22157
20180521,10,DATF,22131
20180521,11,DATF,22429
20180521,12,DATF,23189
20180521,13,DATF,25032
20180521,14,DATF,27161
20180521,15,DATF,29859
20180521,16,DATF,30924
20180521,17,DATF,31003
20180521,18,DATF,30596
20180521,19,DATF,30430
20180521,20,DATF,30182
20180521,21,DATF,29654
20180521,22,DATF,29321
20180521,23,DATF,29019
20180521,24,DATF,28836
20180521,25,DATF,28909
20180521,26,DATF,28794
20180521,27,DATF,28497
20180521,28,DATF,28289
20180521,29,DATF,28417
20180521,30,DATF,28324
20180521,31,DATF,28337
20180521,32,DATF,28838
20180521,33,DATF,29445
20180521,34,DATF,30280
20180521,35,DATF,31273
20180521,36,DATF,32021
20180521,37,DATF,32263
20180521,38,DATF,32441
20180521,39,DATF,32500
20180521,40,DATF,32427
20180521,41,DATF,32102
20180521,42,DATF,31840
20180521,43,DATF,32000
20180521,44,DATF,31327
20180521,45,DATF,29796
20180521,46,DATF,27841
20180521,47,DATF,26647
20180521,48,DATF,25342
20180522,1,DATF,24211
20180522,2,DATF,23653
20180522,3,DATF,23401
20180522,4,DATF,23502
20180522,5,DATF,23274
20180522,6,DATF,23116
20180522,7,DATF,22735
20180522,8,DATF,22220
20180522,9,DATF,22099
20180522,10,DATF,21982
20180522,11,DATF,22399
20180522,12,DATF,23103
20180522,13,DATF,24159
20180522,14,DATF,26161
20180522,15,DATF,28979
20180522,16,DATF,30215
20180522,17,DATF,30300
20180522,18,DATF,29712
20180522,19,DATF,29504
20180522,20,DATF,29495
20180522,21,DATF,29280
20180522,22,DATF,28892
20180522,23,DATF,28615
20180522,24,DATF,28178
20180522,25,DATF,27486
20180522,26,DATF,27275
20180522,27,DATF,26932
20180522,28,DATF,26795
20180522,29,DATF,27067
20180522,30,DATF,27538
20180522,31,DATF,27805
20180522,32,DATF,28696
20180522,33,DATF,29612
20180522,34,DATF,30368
20180522,35,DATF,31217
20180522,36,DATF,31601
20180522,37,DATF,31848
20180522,38,DATF,32248
20180522,39,DATF,32208
20180522,40,DATF,32135
20180522,41,DATF,31793
20180522,42,DATF,31501
20180522,43,DATF,31720
20180522,44,DATF,30874
20180522,45,DATF,29427
20180522,46,DATF,27480
20180522,47,DATF,26028
20180522,48,DATF,25095
20180523,1,DATF,24220
20180523,2,DATF,23307
20180523,3,DATF,23063
20180523,4,DATF,23055
20180523,5,DATF,22598
20180523,6,DATF,22200
20180523,7,DATF,21898
20180523,8,DATF,21564
20180523,9,DATF,21445
20180523,10,DATF,21195
20180523,11,DATF,21557
20180523,12,DATF,23028
20180523,13,DATF,24643
20180523,14,DATF,26808
20180523,15,DATF,29282
20180523,16,DATF,30544
20180523,17,DATF,30828
20180523,18,DATF,30496
20180523,19,DATF,30374
20180523,20,DATF,29759
20180523,21,DATF,28911
20180523,22,DATF,28504
20180523,23,DATF,28115
20180523,24,DATF,27693
20180523,25,DATF,27479
20180523,26,DATF,27243
20180523,27,DATF,27461
20180523,28,DATF,27143
20180523,29,DATF,26856
20180523,30,DATF,26921
20180523,31,DATF,27282
20180523,32,DATF,27966
20180523,33,DATF,28983
20180523,34,DATF,30014
20180523,35,DATF,30967
20180523,36,DATF,31694
20180523,37,DATF,32152
20180523,38,DATF,32420
20180523,39,DATF,32568
20180523,40,DATF,32283
20180523,41,DATF,31979
20180523,42,DATF,31979
20180523,43,DATF,31859
20180523,44,DATF,31095
20180523,45,DATF,29741
20180523,46,DATF,27782
20180523,47,DATF,26000
20180523,48,DATF,24838
